state,sat_participation_2018,sat_ebrw_2018,sat_math_2018,total_sat_results_2018,sat_participation_2019,sat_ebrw_2019,sat_math_2019,total_sat_results_2019,median_income,white_pop_penetration_2018,black_pop_penetration_2018,hispanic_pop_penetration_2018,asian_pop_penetration_2018,native_american_pop_penetration_2018,pacific_islander_pop_penetration_2018,multiple_races_pop_penetration_2018,total_population_2018,white_pop_penetration_2019,black_pop_penetration_2019,hispanic_pop_penetration_2019,asian_pop_penetration_2019,native_american_pop_penetration_2019,pacific_islander_pop_penetration_2019,multiple_races_pop_penetration_2019,total_population_2019
Alabama,0.06,595,571,1166,0.07,583,560,1143,50536,0.6555569582965114,0.2645499305643227,0.043092202163026554,0.013424230947270967,0.003997811724108909,,0.019084290704035684,4752600,0.6538985966310755,0.2650458349940215,0.04440855027165363,0.013677078307566445,0.003943697426108116,,0.01871158566004489,4767100
Alaska,0.43,562,544,1106,0.41,556,541,1097,77640,0.6009025525313778,0.029191933436750812,0.0707939641799464,0.06092229586800169,0.15554928782964322,0.010435763644055846,0.07206317867719644,709100,0.6001140088356848,0.02166167878010546,0.06968790081231295,0.059854638734501926,0.15106170728231438,0.014821148639019524,0.08294142796066695,701700
Arizona,0.29,577,572,1149,0.31,569,565,1134,58945,0.544679696757706,0.04240252416372799,0.31603443598932085,0.032437217138043775,0.03881901117884728,0.0017132332995445656,0.023899604528646687,7004300,0.5415187376725838,0.04319526627218935,0.3176669484361792,0.03254437869822485,0.038898281205973516,0.0017610594533671456,0.024429416737109046,7098000
Arkansas,0.05,592,576,1169,0.06,582,559,1141,47597,0.7224181015301407,0.14955670420703113,0.07698627323451888,0.015130250231061513,0.005819327011946736,0.0028069694998801905,0.027282374285420873,2921300,0.7214371257485029,0.15199315654405474,0.07760479041916167,0.015568862275449102,0.005714285714285714,0.0036954662104362705,0.023986313088109494,2922500
California,0.6,540,536,1076,0.63,534,531,1065,75235,0.36666847330943403,0.05355147254290131,0.39388167522241063,0.14631483589231375,0.003104844641626598,0.003282928000123884,0.03319060855471159,38745900,0.36352014740170846,0.05347193648476944,0.39519495273363403,0.14727490573898822,0.0035918815196660688,0.0035453009235897077,0.03340087519764406,38642700
Colorado,1.0,519,506,1025,1.0,518,506,1024,72331,0.679489487327189,0.038198444700460826,0.2161758352534562,0.031754032258064516,0.004968317972350231,0.0009720622119815668,0.028441820276497696,5555200,0.6778751915606401,0.037617163833351154,0.21773762429167112,0.032128728750133645,0.005238960761253074,0.0011048148544139135,0.02827969635411098,5611800
Connecticut,1.0,535,519,1053,1.0,529,516,1046,78444,0.6629835848022387,0.09895277385108041,0.1662868187981421,0.04653376799469175,0.0014136110550154344,,0.02380059429362721,3466300,0.6568210117858281,0.10030984855066169,0.1689108968233284,0.045927084238264845,0.0016216372744910666,,0.02609098543422234,3453300
Delaware,1.0,505,492,998,1.0,499,486,985,68287,0.6213074544097259,0.21318118801322383,0.09480644129252426,0.04169777114215634,0.0035192492268316094,,0.02527460808360883,937700,0.6143783898755716,0.21812187599702224,0.09688397320004254,0.03924279485270658,0.0031904711262363077,,0.027969796873338296,940300
District of Columbia,0.92,497,480,977,0.94,495,480,975,86420,0.3665219344213206,0.4490193142686031,0.11319059739481958,0.03548435394520138,,,0.03368767779607726,667900,0.3666021152986742,0.4504692387904067,0.11202145091613287,0.03753910323253389,0.0026813645166095636,,0.030537762550275585,671300
Florida,0.56,550,549,1099,1.0,516,483,999,55660,0.532616882961115,0.15072804471417947,0.2633147024252165,0.027433012689807374,0.001885479885815722,0.00043178928682802793,0.023585290378295393,20843500,0.5296875,0.15006192835365853,0.2660013338414634,0.027319931402439025,0.0019007240853658536,0.0005811737804878049,0.02445217225609756,20992000
